Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Green,Button Pompon stems,0.7,4,2.8,4,2.8,4,2.8,5,3.5
Hot Pink,50 cm Roses,1.18,2,2.36,3,3.54,4,4.72,5,5.8999999999999995
Yellow,Sunflowers,1.28,2,2.56,2,2.56,3,3.84,4,5.12
Orange,LA Lily stems,1.67,1,1.67,2,3.34,2,3.34,3,5.01
Purple,Double Lisianthus stems,1.38,1,1.38,1,1.38,2,2.76,2,2.76
Yellow,Snapdragon stems,1,0,0,2,2,2,2,3,3
,Salal tips,0.26,3,0.78,3,0.78,3,0.78,3,0.78
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Vase,5.94,,0,,0,1,5.94,1,5.94
