Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Pink,Alstroemeria stems,0.62,4,2.48,5,3.1,6,3.7199999999999998,8,4.96
Hot Pink,50 cm Roses,0.96,3,2.88,7,6.72,10,9.6,12,11.52
Red,Mini Carnation stems,0.51,3,1.53,4,2.04,6,3.06,6,3.06
Red,Standard Carnations,0.53,3,1.59,3,1.59,5,2.6500000000000004,7,3.71
Pink,Standard Carnations,0.53,0,0,3,1.59,5,2.6500000000000004,7,3.71
,Leatherleaf stems,0.18,3,0.54,3,0.54,3,0.54,3,0.54
,Variegated Pittosporum stems,0.69,1,0.69,1,0.69,1,0.69,2,1.38
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Clear Glass Vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
