Master SKU,Name ,Image,Color,Varieties,Volume,Total,ASP
22-S1,Watermelon Sugar Bouquet,,"Purple
Hot Pink 
Lavender 
Pink
Hot Pink","Alstroemeria
Carnations
Button Pompons
Lilies 
Roses",,,
22-S2,Emerald Isle Bouquet,,"White
Green
Green
White","Veronica
Trick Dianthus
Button Pompons
Roses ",,,
22-S3,Queen Bee Bouquet,,"Orange
Yellow
Yellow
Orange
Orange","Snapdragons
Cushion Pompons
Solidago
Roses
Lilies ",,,
22-S4,Just Peachy Bouquet,,"Orange
Peach
Orange
Peach
Orange
Peach
Peach","Tulips
Stock
Spray Roses
Carnations
Gerbera Daisies 
Hypericum
Roses ",,,
22-P1,Bestie Bouquet,,"Hot pink
Yellow
Purple
Orange
Green","Mini Carnations
Sunflowers
Alstroemeria
Lilies
Trick Dianthus",,,
L5443,Fireflies Bouquet,,"Orange
Yellow
Purple
Yellow","Aslstroemeria
Lilies
Statice
Roses ",,,
L5444,Rose Quartz Bouquet,,"Pink
Pink
Pink
Pink","Carnations
Alstroemeria
Roses
Stock",,,
L5445,Easy Breezy Bouquet,,"Hot pink
Lavender
Blue
Purple
Pink","Stock
Button Pompons
Hydrangea
Mini Carnations
Mini Carnations",,,
L5446,Best Dressed Bouquet,,"Orange
Green
Hot pink
Hot pink
Hot pink","Gerbera Daisies 
Button Pompons
Mini Carnations
Carnations
Roses ",,,
L5448,Butterfly Kisses Bouquet,,"Yellow
Pink
Green
Yellow","Sunflowers
Alstroemeria
Mini Hydrangea 
Spray Roses ",,,
22-M1,Lucky Charm Bouquet,,"Green
Green
White
White
White
Green
Green","Button Pompons
Bells of Ireland
Stock
Roses
Button Pompons
MIni Hydrangea 
Hypericum ",,,
22-M2,Flutter By Bouquet,,"Yellow
Blue
Yellow
Purple
Yellow","Sunflowers
Iris
Daisy Pompons
Statice
Roses",,,
22-M3,Beach House Bouquet,,"Peach
Lavender
White
White
Blue
Peach","Carnations
Button Pompons
Lilies
Limonium
Hydrangea 
Roses ",,,
22-M4,Daydream Bouquet,,"Lavender
Purple
Purple
Blue
Green
Green","Roses
Carnations
Liatris
Iris
Mini Hydrangea
Trick Dianthus ",,,
22-M5,Lemondade Bouquet,,"Yellow
Yellow
Yellow
Yellow
White
White","Daisy Pompons
Carnations
Solidago 
Spray Roses
Daisy Pompons
Lilies ",,,
22-M6,Once Upon a Time Bouquet,,"Pink
Hot pink
Pink
Green
Pink
Green","Roses
Roses
Snapdragon
Trick Dianthus
Lilies
Mini Hydrangea ",,,
22-M7,Sweet Sherbet Bouquet,,"Peach
White
Peach
Peach
White
Peach","Carnations
Alstroemeria 
Stock
Roses
Daisy Pompons
Hypericum",6083,572490.00,94.11
22-M8,Sundance Bouquet,,"Yellow
Hot pink
Yellow
Hot pink
Purple
Orange
Hot pink","Solidago
Carnations
Alstroemeria
Stock
Stock
Roses
Spray Roses ",,,
22-M9,Lollipop Bouquet,,"Purple
Purple
Lavender
Purple
Lavender","Alstroemeria
Stock
Daisy Pompons
Carnations
Roses",13588,1244165.00,91.56
22-J1,Summer Spritz Bouquet,,"Peach
Orange
Peach
Pink
Orange
Hypericum
Roses","Stock
Spray Roses
Carnations
Snapdragons
Gerbera Daisies 
Hypericum
Roses ",,,
22-J2,Backyard Party Bouquet,,"Yellow
Purple
Green
Purple
Red
Orange
Hot pink
Hot pink","Solidago
Carnations
Trick Dianthus
Statice 
Alstroemeria
Lilies
Carnations
Roses ",,,
22-J3,Sunbeam Bouquet,,"Peach
Orange
Yellow
Yellow
Green
Yellow","Spray Roses
Snapdragons
Alstroemeria
Lilies
Trick Dianthus
Roses ",,,
V5447,Sweet Treat Bouquet,,"Orange
Orange
Hot pink
Hot pink
Orange","Alstroemeria
Carnations
Gerbera Daisies
Mini Carnations
Roses ",,,
B-6022,Bold & Bright Florist Original,,,,,,
P-6022,Dreamy Pastels Florist Original,,,,,,
J-6022,Regal Jewel Florist Original,,,,,,
W-6022,Rustic Wildflower Florist Original,,,,,,
SYM-6022,Class Ivory Florist Original ,,,,,,
C5375, Light of My Life,,"Orange
Lavender
Hot Pink
Purple
Pink","Roses
Cushion Pompons
Mini Carnations 
Daisy Pompons 
Lilies",41152,3504347.00,85.16
CGP,Fiesta,,"Hot Pink
Orange
Orange
Hot Pink
Peach
Hot Pink
Pink","Standard Carnations
Spray Roses
Gerbera Daisies
Mini Carnations
Hypericum 
Roses
Stock",36123,3564957.00,98.69
BDB,Best Day Bouquet,,"Green
Hot Pink
Yellow
Orange
Purple
Yellow
","Button Pompons
Roses
Sunflowers
Lilies
Double Lisianthus 
Snapdragon ",32766,3175761.00,96.92
CGY,Hello Sunshine Bouquet,,"Yellow
Yellow
White
Green
White
Yellow
Yellow","Sunflowers
Snapdragons
Double Lisianthus
Button Pompons
Daisy Pompons
Daisy Pompons
Solidago",17465,1695745.00,97.09
S5272,Beautiful Spirit Basket,,"Light pink
Pink
Pink
Light pink
Green","Roses
Lilies
Stock
Standard Carnations
Fuji Mums",17363,1951477.00,112.39
YPB,You're Precious Bouquet,,"Hot pink
Pink
Light pink
Red
Red","Roses
Alstroemeria
Standard Carnations
Standard Carnations
Mini Carnations ",13710,1345677.00,98.15
F5454,Happy Together Bouquet,,,,5906,446664.00,75.63
