Master SKU,Name ,Image,Color,Varieties,Volume,Total,ASP
S1,Lavender Bliss Bouquet,,"Pink
Green
Purple
Green
Lavender
Lavender","50 cm Roses
Mini Hydrangea 
Stock 
Button Pompon 
Daisy Pompon 
Limonium",21148,2220617,105
S2, Flutter By Bouquet,,"Pink
White
Pink
Green
White
Peach","Carnations
Daisy Pompon 
Alstroemeria 
Mini Hydrangea 
Double Lisianthus 
Roses",,,
S3,Fresh Fields Bouquet,,"Purple
Purple
White
White
Pink
Peach
Peach
","Carnations
Mini Carnation 
Button Pompon 
Alstroemeria 
Carnations
Hypericum 
Roses",,,
S4,In the Gardens Luxury Bouquet,,"Pink
Lavender
Pink
White","Roses
Stock 
Stock 
Hydrangea ",,,
S5,Mariposa Bouquet,,"Pink
Lavender
Lavender
Pink
Green
Pink
Pink","Alstroemeria 
Cushion Pompon 
Carnations
Carnations
Button Pompon 
Lily 
Roses",11854,1021867,86.2
S6,Watermelon Punch Bouquet,,"Purple
Green
Pink
Hot Pink
Hot Pink","Carnations
Button Pompon 
Alstroemeria 
Carnations
Roses",,,
S7,Life’s a Peach Bouquet,,"Orange
Yellow
Yellow
Green
Green
Peach","Alstroemeria 
Button Pompon 
Solidago stems
Hypericum 
Mini Hydrangea 
Roses",,,
S8,Rosé All Day Bouquet,,"Pink
Pink
Ivory
Green
White","Alstroemeria 
Spray Rose 
Roses
Hypericum 
Hydrangea

",21944,2274037,103.63
S9,Sweet Thing Bouquet,,"Purple
Lavender
Hot Pink
Fuchsia
Hot Pink
Pink
Purple
Red","Carnations
Cushion Pompon 
Alstroemeria 
Stock 
Mini Carnation 
Roses
Double Lisianthus 
Roses",,,
CGY,Hello Sunshine Bouquet,,"Yellow
Yellow
White
Green
White
Yellow
Yellow","Sunflowers
Snapdragons
Double Lisianthus
Button Pompons
Daisy Pompons
Daisy Pompons
Solidago",24032,2120711,88.25
S5272,Beautiful Spirit Basket,,"Light pink
Pink
Pink
Light pink
Green","Roses
Lilies
Stock
Carnations
Fuji Mums",20311,2297702,113.13
C5375, Light of My Life,,"Orange
Lavender
Hot Pink
Purple
Pink","Roses
Cushion Pompon 
Mini Carnation 
Daisy Pompon 
Lily ",45283,3903009,86.19
CGP,Fiesta,,"Hot Pink
Orange
Orange
Hot Pink
Peach
Hot Pink
Pink","Standard Carnations
Spray Rose stems
Gerbera Daisies
Mini Carnation 
Hypericum 
Roses
Stock",42766,4019043,93.98
SSB,Sweet Surprises Bouquet,,"Pink
White
Hot pink
Pale pink","Roses
Daisy Pompons
Mini Carnations
Mini Carnations",10674,845913,79.25
B-6022,Bold & Bright Florist Original,,,,17455,1564596,89.64
