Master SKU,Name ,Image,Color,Varieties,Volume,Total,ASP
S1,Feels Like Home,,"Pink
Orange
Green
Pink
Green","50 cm Roses
Gerbera Daisies
Trick Dianthus 
Double Lisianthus 
Leucadendron",,,
L5495,String of Pearls   ,,"Lavender
White
White","50 cm Roses
Gerbera Daisies
Limonium",,,
L5496,Sunday Morning ,,"Lavender
Pink
Hot Pink
Red","Disbud Mums
Roses
Stock 
Hypericum ",,,
L5497,The Cheerleader ,,"Yellow
Yellow
Yellow
Yellow
Blue","Sunflowers
Alstroemeria 
Cushion Pompon 
Roses
Eryngium ",,,
L5498,The Mother Nature Bouquet ,,"Green
Green
Green
Pink
Lavender","Standard Carnations
Mini Hydrangea 
Leucadendron
Hypericum 
Roses",,,
L5499,Playing Dress-Up ,"
","Purple
Green
Lavender
Purple
Lavender","Alstroemeria 
Trick Dianthus 
Mini Carnation 
Statice 
Roses",,,
M1,The April Bouquet ,,"Pink
Pale Pink
Pale Pink
Pink
White
Green","Roses
Stock 
Alstroemeria 
Hypericum 
Hydrangea 
Carnations",,,
M2,Periwinkle Breeze ,,"Ivory
Lavender
Purple
Purple
Lavender
Pink","Roses
Stock 
Alstroemeria 
Disbud Mums
Roses
Limonium ",,,
M3,Vanilla Blossom Bouquet,,"White
Ivory
White
White
White
White","Stock stems
50 cm Roses
Hydrangea blooms
Gerbera Daisies 
Mini Calla Lilies 
Limonium stems",,,
M4,Fresh-Picked Porcelain,,"Peach
Pale Pink
White
Purple
Pink
White
Green
White
Peach
Purple","Roses
Roses
Larkspur 
Larkspur 
Double Lisianthus 
Hydrangea
Trick Dianthus 
Queen Anne's Lace 
Hypericum Berry stems
Limonium stems",,,
V5493,Strawberry Patch Basket,,"Purple
Pale Pink
Pale Pink
Orange
Red
Pale Pink","Disbud Mums
Alstroemeria
Mini Carnation 
Roses
Hypericum 
Stock ",,,
V5494,Yellow Brick Road,,"Yellow
Pink
Pale Pink
Pale Pink
Orange","Sunflowers
Stock
Mini Carnation s
Sweet William Dianthus 
Roses",,,
C5375, Light of My Life,,"Orange
Lavender
Hot Pink
Purple
Pink","Roses
Cushion Pompon 
Mini Carnation 
Daisy Pompon 
Lily ",30454,2744240.00,90.11
CGP,Fiesta,,"Hot Pink
Orange
Orange
Hot Pink
Peach
Hot Pink
Pink","Standard Carnations
Spray Rose stems
Gerbera Daisies
Mini Carnation 
Hypericum 
Roses
Stock",26736,2793214.00,104.47
BDB,Best Day,,"Green
Hot Pink
Yellow
Orange
Purple
Yellow
Hot Pink
Yellow
Orange
Purple","Button Pompon stems
Roses
Sunflowers
Lily 
Double Lisianthus 
Snapdragon ",22426,2311071.00,103.05
L5444,At the ballet,,"Pink
Pink
Pink
Pink","
Carnations
Alstroemeria 
Roses
Stock",,,
S5272,Beautiful Spirit Basket,,"Light pink
Pink
Pink
Light pink
Green","Roses
Lilies
Stock
Standard Carnations
Fuji Mums",9733,1154080.00,118.57
B35,Sweet & Pretty Bouquet,,"Hot pink
Pink
White
Green
Hot pink","Roses
Alstroemeria
Carnations
Button Pompons
Mini Carnations",16294,1453531.00,89.21
S2/M2, Flutter By Bouquet,,"Pink
White
Pink
Green
White
Peach","Carnations
Daisy Pompon 
Alstroemeria 
Mini Hydrangea 
Double Lisianthus 
Roses",8428,859456.00,101.98
M1,Lucky charm Bouquet,,"White		
Green	
White		
Green		
White		
Green		
Green","Rose	
Mini Hydrangea	
Stock	
Button Pom	
Button Pom	
Hypericum	
Bells of Ireland",6938,832034.00,119.92
YPB,You're Preciouse,,"
Pink
Hot Pink
Red
Red
Pale Pink","Alstroemeria stems
50 cm Roses
Mini Carnation stems
Standard Carnations
Standard Carnations",6427,658862.00,102.51
FO2,Spring Traditions,,,,13538,1219853,90.11
J-6022,Regal Jewel Florist Original,,,,,,
, Bold & Bright Florist Original,,,,,,
,,,,,,,
SYM-6022,Class Ivory Florist Original ,,,,,,
