C5375,The FTD® Light of my Life™ Bouquet,,Standard,,Deluxe,,Premium,,Exquisite,,,,,,,,
,Mini Calla Lilies,$1.65,-$0.77,$2.42,,,,,,,,,,,,,
,Mini Carnation stems,$0.51,-$0.18,$0.69,,,,,,,,,,,,,
,Monte Casino stems,$0.66,$0.00,$0.66,,,,,,,,,,,,,
White,Queen Anne's Lace,$1.29,,$1.25,,,,,,,,,,,,,
,Ranunculus,$1.64,,$2.85,,,,,,,,,,,,,
Orange,50 cm Roses,$0.96,-$0.08,$1.04,,,,,,,,,,,,,
Yellow,50 cm Roses,$0.96,-$0.12,$1.08,,,,,,,,,,,,,
Peach,50 cm Roses,$0.96,-$0.12,$1.08,,,,,,,,,,,,,
Pink,50 cm Roses,$0.96,-$0.19,$1.15,,,,,,,,,,,,,
Lavender,50 cm Roses,$0.96,-$0.12,$1.08,,,,,,,,,,,,,
White,50 cm Roses,$0.96,-$0.32,$1.28,,,,,,,,,,,,,
Red,50 cm Roses,$0.87,-$0.31,$1.18,,,,,,,,,,,,,
,Snapdragon stems,$0.92,-$0.28,$1.20,,,,,,,,,,,,,
,Solidago stems,$0.63,$0.06,$0.57,,,,,,,,,,,,,
,Spider Mums,$0.84,$0.00,$0.84,,,,,,,,,,,,,
,Spray Rose stems,$0.90,-$0.52,$1.42,,,,,,,,,,,,,
,Standard Carnations,$0.53,-$0.18,$0.71,,,,,,,,,,,,,
,Star of Bethlehem stems,$0.85,,$1.18,,,,,,,,,,,,,
,Statice stems,$0.59,-$0.15,$0.74,,,,,,,,,,,,,
,Stock stems,$0.85,-$0.13,$0.98,,,,,,,,,,,,,
,Sweet William,$0.77,-$0.25,$1.02,,,,,,,,,,,,,
,Eryngium thistle stems,$1.40,-$0.30,$1.70,,,,,,,,,,,,,
Green,Trick Dianthus stems,$0.94,-$0.16,$1.10,,,,,,,,,,,,,
,Waxflower stems,$1.41,-$0.19,$1.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Baby Blue Eucalyptus stems,$0.99,-$0.01,$1.00,,,,,,,,,,,,,
,Dusty Miller Stems,$0.98,,$1.05,,,,,,,,,,,,,
,Gunni Eucalyptus stems,$1.09,-$0.19,$1.28,,,,,,,,,,,,,
,Silver dollar Eucalyptus stems,$2.10,$0.00,$2.10,,,,,,,,,,,,,
,Green Pittosporum stems,$0.67,-$0.04,$0.71,,,,,,,,,,,,,
,Israeli Ruscus stems,$0.35,-$0.05,$0.40,,,,,,,,,,,,,
,Italian Variegated Pittosporum stems,$0.82,-$0.08,$0.90,,,,,,,,,,,,,
,Salal tips,$0.26,-$0.02,$0.28,,,,,,,,,,,,,
,Seeded Eucalyptus stems,$2.10,-$0.03,$2.13,,,,,,,,,,,,,
,Variegated Pittosporum stems,$0.69,-$0.05,$0.74,,,,,,,,,,,,,
,Silver dollar Eucalyptus stems,$1.80,$0.02,$1.78,,,,,,,,,,,,,
,Green Pittosporum stems,$0.65,$0.00,$0.65,,,,,,,,,,,,,
,Israeli Ruscus stems,$0.37,-$0.02,$0.39,,,,,,,,,,,,,
,Italian Ruscus stems,$1.97,$0.20,$1.77,,,,,,,,,,,,,
,Italian Variegated Pittosporum stems,$1.03,$0.13,$0.90,,,,,,,,,,,,,
,Ivy vines,$0.65,-$0.08,$0.73,,,,,,,,,,,,,
,Leatherleaf stems,$0.17,$0.00,$0.17,,,,,,,,,,,,,
,Lily Grass blades,$0.34,$0.00,$0.34,,,,,,,,,,,,,
,Mini Myrtle stems,$0.95,-$0.02,$0.97,,,,,,,,,,,,,
,Myrtle stems,$0.80,-$0.08,$0.88,,,,,,,,,,,,,
,Salal stems,$0.44,-$0.02,$0.46,,,,,,,,,,,,,
,Salal tips,$0.23,-$0.02,$0.25,,,,,,,,,,,,,
,Seeded Eucalyptus stems,$1.80,$0.02,$1.78,,,,,,,,,,,,,
,Sword Fern fronds,$0.55,$0.04,$0.51,,,,,,,,,,,,,
,Ti leaves,$0.46,-$0.01,$0.47,,,,,,,,,,,,,
,Variegated Aspidistra leaves,$0.74,-$0.04,$0.78,,,,,,,,,,,,,
,Variegated Pittosporum stems,$0.67,-$0.23,$0.90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Hardgoods,,,,,,,,,,,,,,,,
,Small Gold Dipped Vase,7.17,,,,,,,,,,,,,,,
,Large Gold Dipped Vase,11.75,,,,,,,,,,,,,,,
,Small Cinched Vase,5.12,,,,,,,,,,,,,,,
,Large Cinched Vase,5.94,,,,,,,,,,,,,,,
,White Wooded Box,6.96,,,,,,,,,,,,,,,
,Brown Wood Box,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
