YPB,The FTD® You're Precious Bouquet,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,YPBs,,YPBd,,YPBp,,YPBe,
,retail (w/o delivery),,,50,,70,,95,,110
,FTD.com Retail,,,60,,80,,105,,120
Pink,Alstroemeria stems,0.62,4,2.48,5,3.1,6,3.7199999999999998,8,4.96
Hot Pink,50 cm Roses,0.96,3,2.88,7,6.72,10,9.6,12,11.52
Red,Mini Carnation stems,0.51,3,1.53,4,2.04,6,3.06,6,3.06
Red,Standard Carnations,0.53,3,1.59,3,1.59,5,2.6500000000000004,7,3.71
Pink,Standard Carnations,0.53,0,0,3,1.59,5,2.6500000000000004,7,3.71
,Leatherleaf stems,0.18,3,0.54,3,0.54,3,0.54,3,0.54
,Variegated Pittosporum stems,0.69,1,0.69,1,0.69,1,0.69,2,1.38
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Clear Glass Vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
,TOTAL,,,12.209999999999999,,18.77,,25.41,,31.38
,retail     (w/o delivery),,,50,,70,,95,,110
,executing value         (retail * .71),0.71,,35.5,,49.699999999999996,,67.45,,78.1
,COGS     (EV * .50),0.5,,17.75,,24.849999999999998,,33.725,,39.05
,Gross Margin     (EV * .50),0.5,,17.75,,24.849999999999998,,33.725,,39.05
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,23.29,,30.929999999999996,,42.040000000000006,,46.72
,Labor Cost    (retail x -10%),-0.1,,-5,,-7,,-9.5,,-11
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,7.549999999999999,,13.189999999999998,,21.800000000000004,,24.979999999999997
,Net Margin    (TOTAL abv/RETAIL),,,0.15099999999999997,,0.1884285714285714,,0.22947368421052636,,0.22709090909090907
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.24419999999999997,,0.2681428571428571,,0.2674736842105263,,0.2852727272727273
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,9,22.86,10,25.4,11,27.94,,0
,,W,12,30.48,13,33.02,14,35.56,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,0.4,,0.4,,0.2,,0.2
,,,,,,,,,,
,,,,,,,,,,
EDAY 2023 PRICING,,,,,,,,,,
,,NEW 2023,,CDAY 2023,,,,,,
,Alstroemeria stems,0.62,-0.29000000000000004,0.91,,,,,,
,Asiatic Lily stems,1.47,-0.07000000000000006,1.54,,,,,,
